# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
番茄芝士肉丸煎盘|groundBeef:350,cannedTomato:250,mozzarella:80,garlic:15,oil:15,salt:3|牛肉末加部分盐揉黏搓小丸，蒜切末。|煎盘煎肉丸表面上色，加番茄蒜盖焖到丸心熟透，撒芝士加盖融化。|直接用叉子分肉丸，锅底番茄汁不要烧干。|v4-meatballs|30/45|pan|与所用锅具适配的锅盖,探针温度计
西班牙土豆鸡蛋饼|potato:350,onion:120,eggWhole:4,oliveOil:30,salt:3|土豆切薄片、洋葱切丝，蛋打散加盐。|煎盘用油把土豆洋葱煎到完全软熟，倒蛋液小火加盖，待蛋饼中心凝固。|切扇形块，户外版本不保留半熟流心。|okonomiyaki|30/45|pan|与所用锅具适配的锅盖,探针温度计
葱香虾仁鸡蛋厚饼|shrimp:250,eggWhole:4,scallion:30,milk:30,oil:15,salt:2|虾擦干切小段，葱切花，蛋奶盐搅匀。|煎盘先把虾炒熟，再倒蛋液撒葱，小火加盖至蛋液完全凝固，必要时翻面。|切成方块，虾肉不能仅凭变色就判断全部熟透。|okonomiyaki|25/35|pan|与所用锅具适配的锅盖,探针温度计
泡菜海鲜煎饼|squid:180,shrimp:150,kimchi:120,flour:100,eggWhole:1,water:120,oil:25|鱿鱼切小条、虾切段、泡菜剪短；面粉蛋水调糊后拌入。|煎盘中火摊成薄饼，两面煎黄，中心面糊与海鲜完全熟透；分两批不做厚饼。|剪成小块，酸辣来自泡菜，不必再蘸重盐酱。|okonomiyaki|30/40|pan|探针温度计
德式培根土豆盘|potato:400,bacon:130,onion:120,blackPepper:2,oil:12|土豆在家煮熟冷藏，现场切厚片；培根洋葱切块。|煎盘先烤熟培根与洋葱，放土豆铺平煎脆，整盘充分复热。|撒黑椒，翻动少些才能有脆壳。|rosemary-potato|25/35|pan|探针温度计
蒜香奶油生菜锅|romaine:350,cream:100,garlic:15,parmesan:25,butter:15|罗马生菜洗净沥干切段，蒜切末|锅中化黄油炒蒜，放生菜炒软，倒奶油小火煮稠，最后拌奶酪。|用勺舀菜与奶油汁，作为烤肉的温热配菜；出锅后立即分食。|v4-romaine|20/30|pot
孜然牛肉炒土豆|beefFlank:300,potato:350,onion:100,cumin:3,soy:18,oil:20|牛腹切薄片，土豆切薄片在家煮熟冷藏，洋葱切丝。|煎盘先炒熟牛肉盛到干净盘，再把土豆洋葱煎香，牛肉回锅拌生抽孜然。|全部热透后出锅，熟土豆不留冷心。|cumin-beef-wrap|28/40|pan|探针温度计
鸡蛋番茄炒饭|rice:350,eggWhole:2,tomato:200,scallion:20,oil:20,salt:3|熟米饭冷藏，番茄切小块，鸡蛋打散，葱切花。|煎盘先炒蛋全熟盛出，再炒番茄收汁，下米饭压散炒热，蛋回锅充分复热。|撒葱分碗，不用隔夜常温米饭。|kimchi-cheese-rice|22/32|pan|探针温度计
蒜香豆豉牛肉盘|beefFlank:350,pepper:200,onion:100,blackBeanSauce:25,garlic:15,oil:20|牛腹切薄片，甜椒洋葱切条，蒜切片。|煎盘热油分批炒熟牛肉，菜炒软后加豆豉，肉回锅热匀，避免满锅焖水。|咸香浓郁，豆豉带盐无需再叠加大量生抽。|cumin-beef-wrap|25/35|pan|探针温度计
番茄鹰嘴豆浓汤|chickpea:350,cannedTomato:300,carrot:150,celery:80,water:500,cumin:2,oliveOil:15,salt:3|胡萝卜芹菜切小丁，熟鹰嘴豆沥干|锅里用油炒菜丁，加番茄水孜然与豆，小火煮到胡萝卜软、汤汁稍稠。|把豆与蔬菜一起舀入碗中，配烤脆的面包蘸汤吃。|v4-chickpea|25/45|pot
玉米鸡蛋奶酪锅|cornKernel:300,eggWhole:2,mozzarella:80,milk:80,butter:20,salt:2|玉米粒冷藏，蛋打散，奶与芝士分装。|小锅化黄油，加玉米牛奶煮热，倒蛋液搅至完全凝固，再撒芝士盖融化。|用勺趁热吃，不保留流动蛋液。|corn-chowder|20/30|pot|探针温度计
红椒虾仁土豆盘|shrimp:280,potato:350,paprika:3,garlic:20,oliveOil:20,salt:3|土豆煮熟冷藏后切块，虾仁擦干，蒜切片。|煎盘把土豆煎热煎脆，推到一侧，另一侧加虾和蒜煎熟，拌红椒粉盐。|虾与土豆同时热透后出盘，红椒粉临末下。|paprika-shrimp|25/35|pan
鸡腿卷心菜水焖锅|chicken:400,cabbage:350,ginger:15,soy:20,water:150,oil:15|鸡腿切大块，卷心菜撕片，姜切丝。|小锅把鸡皮煎香，加姜、菜、生抽与水，盖焖到鸡肉中心达标，开盖收浓。|锅底留少量熟汤汁，不干烧鸡皮。|greek-chicken|25/45|pot|探针温度计
芝士番茄嫩豆腐锅|tofu:400,cannedTomato:300,mozzarella:70,garlic:15,water:100,oil:15,salt:3|嫩豆腐切大块，蒜切末，番茄压碎。|锅中热油炒蒜，加番茄水煮开，下豆腐轻推煮热，撒芝士加盖融化。|用汤勺分食，豆腐不需要煎出脆壳。|clams-tofu|22/35|pot
香菇鸡丝热汤面|chickenBreast:300,shiitake:180,noodleCooked:300,ginger:15,water:800,soy:15,sesameOil:5|鸡胸切厚条，香菇切片，姜切丝，熟面冷藏。|水姜香菇煮开，下鸡肉煮到全熟，捞出手撕回锅；放面条充分煮热，加生抽香油。|分成两碗，鸡丝与菇片都带上。|v4-noodle-soup|25/40|pot|探针温度计
