# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
酸奶咖喱坦都里鸡腿|chicken:450,yogurt:80,curryPowder:5,paprika:3,lemonJuice:15,salt:3|鸡腿摊开，用酸奶、咖喱、红椒粉、柠檬汁和盐冷藏腌2小时。|刮掉厚腌料，间接烤熟，再短暂直火烤出斑点；不用刷回生腌料。|切条分食，保留酸奶香料薄壳。|satay-chicken|25/50|roast|探针温度计
蒜香压扁整鸡|chickenWhole:1100,garlic:25,oliveOil:25,rosemaryFresh:5,salt:7|剪去脊骨摊平，先确认炉盖合得上；蒜香草油盐抹鸡，冷藏待烤。|180—200℃间接烤，鸡腿朝较热侧；胸部和两侧大腿分别测温，全部达标再出炉。|静置后沿关节拆成鸡腿、鸡翅与鸡胸分食。|v4-whole-chicken|35/100|roast|剪刀,探针温度计
鼠尾草黄油鸡胸|chickenBreast:400,sage:5,butter:25,garlic:10,salt:3|鸡胸从厚处横切展开但不断，夹少量鼠尾草和蒜黄油，金属签封口。|中火上色后移间接区，合盖烤至夹层与最厚肉都达到禽肉安全温度。|横切展示香草夹心，黄油肉汁一起盛盘。|greek-chicken|25/45|roast|金属烤签,探针温度计
橙香脆皮鸭胸|duckBreast:450,orangeJuice:60,honey:12,soy:12,blackPepper:1|鸭皮划浅网格不切入肉；橙汁蜂蜜生抽在小锅煮到略稠。|先在煎盘中小火鸭皮朝下逼油，再转间接区烤熟；酱汁最后刷。|横切厚片配橙汁，不按餐厅粉红鸭胸口感降低中心温度。|v4-duck|30/50|roast|带沿煎盘（无漏油孔）,至少1.5L带盖小锅,探针温度计
五香鹌鹑开背烤|quail:450,fiveSpice:2,soy:20,honey:10,oil:12|鹌鹑开背压平，拌五香粉、生抽和油冷藏腌1小时。|中火烤香两面后间接烤熟胸腿；蜂蜜后刷，骨边不留生肉。|每只对半分食，留意细碎小骨。|v4-quail|25/50|roast|剪刀,探针温度计
蒜香迷迭香羊排|lambChop:550,rosemaryFresh:5,garlic:15,oliveOil:20,salt:4|羊排擦干，蒜香草切碎拌油盐，抹在肉面。|先直火烤表面，再间接烤最厚处；油脂起火马上换区。|离火静置后沿骨分开，蒜香油只用熟制后汁液。|v4-lamb-chops|25/45|roast|探针温度计
孜然羊肉汉堡排|lambGround:400,onion:60,cumin:3,parsleyFresh:10,salt:3|洋葱切末挤干，与羊肉、孜然欧芹盐拌匀，压成不超过2厘米厚的肉饼。|中火烤定型才翻面，不压出肉汁；中心温度按肉末而非整切羊排判断。|切块共享，也可放到已选的主食里吃。|v4-meat-patties|25/35|grill|探针温度计
洋葱芥末烤香肠|sausageRaw:400,onion:200,mustard:25,oil:10,water:100|生香肠不扎孔；洋葱切圈，芥末单装。|香肠和水入带盖煎盘，中小火焖熟；转烤网上色，洋葱用油煎软。|配熟洋葱和芥末，先熟后烤避免外焦内生。|v4-sausage|25/40|pot|炭烤炉与烤网,烧烤炭,生熟两夹,隔热手套,探针温度计,带沿煎盘（无漏油孔）,与所用锅具适配的锅盖
墨西哥红椒烤里脊|porkTender:450,paprika:4,cumin:2,limeJuice:20,oil:15,salt:3|里脊剔筋，抹红椒粉孜然油盐，青柠汁留后。|中火逐面上色，再转间接区烤到中心温度达标，不长时间用大火。|静置后斜切，离火拌青柠汁。|v4-pork-chop|22/40|roast|探针温度计
芝士夹心牛肉饼|groundBeef:400,cheddar:50,blackPepper:2,salt:3|牛肉分成薄饼，中间夹芝士，四周捏严，最终厚度不超过2厘米。|中火烤定型后翻面，转弱火烤到肉层中心达标，测温不要只插进芝士。|略晾后切开，提醒内馅烫嘴。|v4-meat-patties|25/40|roast|探针温度计
柠檬蒜香猪肩薄片|porkShoulder:400,garlic:15,lemonJuice:20,oreganoDry:2,oil:15,salt:3|猪肩肉逆纹切5毫米片，拌蒜、牛至油盐，冷藏腌30分钟。|中强火铺成单层烤，两面上色后移弱火检查全部熟透。|柠檬汁出炉再拌，叠在盘中分享。|v4-pork-belly|20/30|grill|探针温度计
蜂蜜芥末烤火腿厚片|ham:350,mustard:20,honey:15,apple:180|熟火腿切厚片，苹果去核切环；蜂蜜芥末混合另装。|火腿先弱火复热至中心达标，再刷酱烤上色；苹果单独烤软。|火腿与苹果叠着吃，咸甜交替。|v4-bacon|20/30|grill|探针温度计
蒜香辣酱鸡小腿|chickenDrum:500,garlic:20,sriracha:25,butter:20,salt:3|鸡小腿擦干抹盐；黄油蒜辣椒酱另装小锅。|间接烤熟鸡腿，锅中酱汁煮到蒜熟；鸡腿短暂直火上色后拌熟酱。|用生熟分开的夹子取出，不把熟鸡放回生肉盘。|v4-drumsticks|25/65|roast|至少1.5L带盖小锅,探针温度计
葱姜酱烤鸭胸|duckBreast:450,ginger:15,scallion:30,soy:20,sugar:8,water:40|鸭皮浅划网格，姜切末葱切段；生抽糖水另装。|先煎出鸭油，再间接烤熟；姜葱与调味汁在小锅煮开，最后浇熟鸭肉。|切薄片拌葱姜汁，鸭皮与肉一起吃。|v4-duck|30/50|roast|至少1.5L带盖小锅,带沿煎盘（无漏油孔）,探针温度计
彩椒芝士牛肉卷|beefFlank:400,pepper:160,parmesan:30,oil:15,salt:3|牛腹切薄片轻拍平，卷入甜椒条与少量奶酪，用金属签固定。|中火先烤封口面，再间接烤透内外肉层；切开检查夹层，卷肉不按整切牛排处理。|拔签后横切成小卷，连彩椒奶酪一起吃。|v4-beef-skewers|28/45|roast|金属烤签,探针温度计
