# title|ingredients|preparation|cooking|serving|photoId|active/onsiteMinutes|mode|extraEquipment
金枪鱼白豆沙拉|tunaCooked:200,beans:300,onion:70,parsleyFresh:15,lemonJuice:25,oliveOil:15|即食金枪鱼与熟豆沥干，洋葱欧芹切细，熟食工具单独用。|先拌豆与油柠檬，再轻放金枪鱼块和洋葱欧芹，不压成碎泥。|可独立当冷主菜，开罐后尽快冷藏并当天吃完。|v4-chickpea|15/18|cold
芝麻酱冷荞麦蔬菜杯|sobaDry:160,cucumber:180,carrot:100,tahini:30,soy:15,vinegar:20,water:1000|荞麦面在家煮熟，用可饮用冷水降温、沥干冷藏；黄瓜胡萝卜切丝。|芝麻酱用少量饮用水调开，加生抽醋，和冷面菜丝拌匀，分装小杯。|作为小份冷主食，煮面水与调酱水分开取。|sesame-soba|15/20|cold|至少1.5L带盖小锅
橄榄酸豆番茄蘸汁|tomato:300,olives:50,capers:20,garlic:8,oliveOil:25,wineVinegar:15|番茄去掉部分多余汁后切丁，橄榄酸豆蒜切细。|所有材料拌匀，放几分钟再拌，使番茄汁与油醋融合。|配烤鱼或烤鸡，不把接触过生鱼的勺子伸回蘸汁。|basil-toast|12/15|cold
欧芹蒜香烤肉酸汁|parsleyFresh:35,garlic:15,oliveOil:50,wineVinegar:30,oreganoDry:2,chili:1,salt:3|欧芹与蒜切细但不打成泥，干香草与盐称好。|先拌醋盐蒜，再加欧芹牛至辣椒与油，分成桌边小碗。|熟烤肉出炉后再淋，不将余下酸汁当生肉腌料重复用。|chimi-beef|15/18|cold
花生青柠沙嗲蘸汁|peanutButter:70,coconutMilk:100,limeJuice:20,curryPowder:2,soy:15|花生酱、椰奶、咖喱粉与生抽装小锅，青柠汁单装。|小火搅煮到咖喱熟香、酱汁顺滑，离火后加青柠；浓度过稠可用少量饮用水调开。|配鸡肉串，标明含花生，不和无花生蘸碗共用勺。|satay-chicken|15/20|pot
酸奶蒜香白酱|yogurt:200,garlic:8,lemonJuice:25,oliveOil:15,salt:2|使用无糖原味酸奶，蒜压细泥，柠檬汁与油分装。|先拌酸奶蒜盐与柠檬，再慢慢拌油，调成能挂住烤肉的稠度。|配羊排、鸡腿或烤蔬菜，随取随冷藏。|dill-salmon|10/12|cold
烟熏红椒蛋黄酱|mayo:120,paprika:3,lemonJuice:20,garlic:5|使用正规商业蛋黄酱，蒜压泥；红椒粉选择烟熏型才有烟香。|蛋黄酱先拌蒜和红椒粉，再慢慢拌柠檬汁，拌匀后冷藏。|配烤土豆或虾；这道不用木烟熏制蛋黄酱。|lime-corn|10/12|cold
蜂蜜芥末酸奶汁|yogurt:120,mustard:35,honey:20,lemonJuice:15|酸奶与芥末冷藏带出，蜂蜜和柠檬汁单装。|先用柠檬汁调开蜂蜜，再拌芥末酸奶，甜酸咸均匀即可。|配猪排或烤鸡，蘸汁只用熟食餐具。|mustard-chicken|10/12|cold
牛油果青柠蘸泥|avocado:300,limeJuice:30,onion:50,cilantroFresh:15,salt:3|牛油果去核挖肉，洋葱香菜切末。|牛油果与青柠盐用叉子压成带颗粒泥，再拌洋葱香菜。|搭塔可或烤馕；现做现吃，表面贴好食品保鲜膜后立即冷藏。|v4-cucumber|12/15|cold
芝麻柠檬鹰嘴豆泥|chickpea:350,tahini:45,lemonJuice:35,garlic:8,oliveOil:25,water:50,salt:3|熟鹰嘴豆沥干，可压掉部分外皮；蒜压泥。|用叉子或压泥器把豆压细，加入芝麻酱柠檬盐蒜与饮用水，拌到顺滑。|表面淋橄榄油，搭烤蔬菜或面包，不必带电动料理机。|v4-chickpea|20/25|cold
香辣熟毛豆拌菜|edamame:300,garlic:10,soy:15,vinegar:20,sesameOil:8,chili:1|选择即食熟毛豆仁并冷藏；蒜切末，调味汁单装。|毛豆拌蒜、生抽、醋、香油和辣椒，冷藏稍入味。|当桌边小食，未标即食的毛豆须先按包装煮熟。|v4-chickpea|10/15|cold
酸甜萝卜黄瓜片|radish:200,cucumber:250,vinegar:35,sugar:15,salt:3|小红萝卜和黄瓜洗净切薄片，沥干。|先把糖盐在醋中拌溶，再拌入菜片，冷藏腌15—30分钟。|这是即食拌菜，不是可常温存放的腌渍罐头。|v4-cucumber|12/30|cold
菠萝香菜莎莎|pineapple:300,tomato:150,onion:50,cilantroFresh:15,limeJuice:25,salt:2|菠萝番茄切小丁，洋葱香菜切末，熟食砧板单用。|先拌青柠盐，再和果蔬丁拌匀，临上桌才混合。|搭烤猪肉、鸡肉串或虾，酸甜解腻。|mint-pineapple|15/18|cold
苹果核桃酸奶杯|apple:300,walnut:50,yogurt:180,lemonJuice:15,honey:15|苹果去核切丁拌柠檬汁，核桃掰小块，酸奶冷藏。|先装酸奶，再放苹果核桃，蜂蜜最后细细淋上，不搅成糊。|作为烤肉间的小甜口，核桃过敏者不能食用。|cinnamon-apple|12/15|cold
蓝莓黄瓜薄荷沙拉|blueberry:180,cucumber:250,mintFresh:10,limeJuice:20,honey:10|蓝莓黄瓜洗净沥干，黄瓜切片，薄荷摘叶。|青柠汁调开蜂蜜，和蓝莓黄瓜轻拌，薄荷最后放。|在油香烤肉后上桌，保留清爽脆口。|basil-berry-soda|12/15|cold
